timestamp,eci x [m],eci y [m],eci z [m]
1735208683.75,-1586118.0469873638,-4619144.251722363,4780358.92214874
1735208684.0,-1586869.2811705738,-4620278.054849277,4779018.176109418
1735208684.25,-1587620.3917480104,-4621411.498088163,4777677.056762707
1735208684.5,-1588371.378660906,-4622544.581350243,4776335.564213488
1735208684.75,-1589122.241850924,-4623677.304547397,4774993.698565926
1735208685.0,-1589872.9812593104,-4624809.667590893,4773651.459924974
1735208685.25,-1590623.5968276337,-4625941.670392497,4772308.848395058
1735208685.5,-1591374.0884971626,-4627073.312863538,4770965.864081187
1735208685.75,-1592124.456209708,-4628204.594916175,4769622.507087438
1735208686.0,-1592874.6999064838,-4629335.51646168,4768278.777519007
1735208686.25,-1593624.8195290547,-4630466.077411871,4766934.675480518
1735208686.5,-1594374.8150188802,-4631596.277678413,4765590.201076818
1735208686.75,-1595124.6863175526,-4632726.117173193,4764245.354412577
1735208687.0,-1595874.433366538,-4633855.595807924,4762900.135592712
1735208687.25,-1596624.0561073355,-4634984.713494371,4761554.544722157
1735208687.5,-1597373.5544815196,-4636113.470144428,4760208.5819057375
1735208687.75,-1598122.928430707,-4637241.865670076,4758862.247248252
1735208688.0,-1598872.1778963143,-4638369.899982998,4757515.540854927
1735208688.25,-1599621.3028200048,-4639497.572995273,4756168.46283055
1735208688.5,-1600370.3031432535,-4640624.884618698,4754821.01328034
1735208688.75,-1601119.1788077971,-4641751.834765481,4753473.192309062
1735208689.0,-1601867.9297550358,-4642878.423347345,4752125.000022142
1735208689.25,-1602616.555926806,-4644004.650276671,4750776.436524261
1735208689.5,-1603365.0572646037,-4645130.515465355,4749427.501920777
1735208689.75,-1604113.4337099802,-4646256.018825376,4748078.196316969
1735208690.0,-1604861.6852046878,-4647381.160269034,4746728.519817828
1735208690.25,-1605609.8116903233,-4648505.939708417,4745378.472528653
1735208690.5,-1606357.8131085108,-4649630.357055655,4744028.054554753
1735208690.75,-1607105.6894010212,-4650754.41222312,4742677.266001207
1735208691.0,-1607853.4405093372,-4651878.105122761,4741326.106973665
1735208691.25,-1608601.0663753764,-4653001.435667197,4739974.577577046
1735208691.5,-1609348.5669405973,-4654124.403768367,4738622.677917132
1735208691.75,-1610095.9421468575,-4655247.009338831,4737270.408099045
1735208692.0,-1610843.1919358228,-4656369.252290866,4735917.76822828
1735208692.25,-1611590.3162492963,-4657491.132536968,4734564.758410155
1735208692.5,-1612337.315028862,-4658612.649989325,4733211.378750424
1735208692.75,-1613084.1882162525,-4659733.8045603605,4731857.629354598
1735208693.0,-1613830.9357534156,-4660854.596162827,4730503.510327879
1735208693.25,-1614577.5575819546,-4661975.024708988,4729149.021776105
1735208693.5,-1615324.0536436748,-4663095.090111405,4727794.163804829
1735208693.75,-1616070.4238803324,-4664214.792282593,4726438.936519714
1735208694.0,-1616816.6682337793,-4665334.131135222,4725083.340026306
1735208694.25,-1617562.7866457812,-4666453.106581844,4723727.374430351
1735208694.5,-1618308.779058071,-4667571.718534976,4722371.03983771
1735208694.75,-1619054.6454125857,-4668689.966907453,4721014.336353906
1735208695.0,-1619800.385651186,-4669807.851612013,4719657.264084661
1735208695.25,-1620545.9997155657,-4670925.372561157,4718299.823136045
1735208695.5,-1621291.4875476074,-4672042.52966768,4716942.013613816
1735208695.75,-1622036.8490892414,-4673159.322844467,4715583.835623717
1735208696.0,-1622782.0842823414,-4674275.752004325,4714225.289271616
1735208696.25,-1623527.1930687523,-4675391.81706003,4712866.374663503
1735208696.5,-1624272.1753902356,-4676507.517924263,4711507.091905557
1735208696.75,-1625017.031188893,-4677622.854510203,4710147.441103379
1735208697.0,-1625761.76040658,-4678737.826730699,4708787.4223630605
1735208697.25,-1626506.3629851069,-4679852.434498533,4707427.035790852
1735208697.5,-1627250.8388664438,-4680966.677726738,4706066.281492725
1735208697.75,-1627995.1879926657,-4682080.556328527,4704705.159574519
1735208698.0,-1628739.4103055473,-4683194.0702166585,4703343.670142682
1735208698.25,-1629483.505747141,-4684307.219304352,4701981.813303176
1735208698.5,-1630227.4742593132,-4685420.003504536,4700619.58916238
1735208698.75,-1630971.3157841887,-4686532.422730535,4699256.997826219
1735208699.0,-1631715.0302636733,-4687644.476895393,4697894.03940108
1735208699.25,-1632458.6176396927,-4688756.165912162,4696530.713993364
1735208699.5,-1633202.0778543628,-4689867.489694209,4695167.021709158
1735208699.75,-1633945.4108497037,-4690978.448154768,4693802.962654787
1735208700.0,-1634688.616567626,-4692089.041206926,4692438.536936812
1735208700.25,-1635431.6949502754,-4693199.268764133,4691073.744661408
1735208700.5,-1636174.645939629,-4694309.130739596,4689708.5859351205
1735208700.75,-1636917.4694778095,-4695418.627046766,4688343.060864261
1735208701.0,-1637660.1655068125,-4696527.757598901,4686977.169555429
1735208701.25,-1638402.733968787,-4697636.522309513,4685610.912114983
1735208701.5,-1639145.17480582,-4698744.92109204,4684244.288649447
1735208701.75,-1639887.487959819,-4699852.953859645,4682877.299265733
1735208702.0,-1640629.6733731057,-4700960.620526149,4681509.944070009
1735208702.25,-1641371.7309877672,-4702067.921005016,4680142.223168945
1735208702.5,-1642113.6607459306,-4703174.855209795,4678774.136669186
1735208702.75,-1642855.4625895317,-4704281.423053757,4677405.684677762
1735208703.0,-1643597.136460954,-4705387.624450858,4676036.867300939
1735208703.25,-1644338.6823022647,-4706493.459314598,4674667.684645595
1735208703.5,-1645080.1000556725,-4707598.927558697,4673298.136818416
1735208703.75,-1645821.389663204,-4708704.029096616,4671928.22392646
1735208704.0,-1646562.5510672228,-4709808.763842344,4670557.946076204
1735208704.25,-1647303.5842098244,-4710913.131709461,4669187.303374688
1735208704.5,-1648044.4890333144,-4712017.132611903,4667816.295928579
1735208704.75,-1648785.2654797218,-4713120.766463188,4666444.923845135
1735208705.0,-1649525.9134915008,-4714224.033177483,4665073.187230853
1735208705.25,-1650266.433010696,-4715326.932668361,4663701.086193048
1735208705.5,-1651006.8239796653,-4716429.464849882,4662328.620838491
1735208705.75,-1651747.086340506,-4717531.629635725,4660955.791274495
1735208706.0,-1652487.2200357162,-4718633.426940177,4659582.597607665
1735208706.25,-1653227.2250074188,-4719734.856676982,4658209.039945356
1735208706.5,-1653967.1011979333,-4720835.918760195,4656835.118394608
1735208706.75,-1654706.848549524,-4721936.6131038,4655460.833062614
1735208707.0,-1655446.4670045956,-4723036.939622003,4654086.184056324
1735208707.25,-1656185.95650532,-4724136.898228677,4652711.171483212
1735208707.5,-1656925.3169941346,-4725236.488838104,4651335.795450278
1735208707.75,-1657664.5484133,-4726335.711364317,4649960.056064903
1735208708.0,-1658403.6507052332,-4727434.565721596,4648583.953434227
1735208708.25,-1659142.623812249,-4728533.0518240845,4647207.48766562
1735208708.5,-1659881.4676766796,-4729631.169585958,4645830.658866487
1735208708.75,-1660620.182240895,-4730728.918921475,4644453.467144184
1735208709.0,-1661358.767447436,-4731826.299745148,4643075.912605815
1735208709.25,-1662097.2232385082,-4732923.311971014,4641697.995359145
1735208709.5,-1662835.549556546,-4734019.955513463,4640319.715511559
1735208709.75,-1663573.7463440504,-4735116.230286992,4638941.073170385
1735208710.0,-1664311.8135434403,-4736212.136205997,4637562.068443124
1735208710.25,-1665049.751097042,-4737307.673184743,4636182.701437516
1735208710.5,-1665787.5589474118,-4738402.841137855,4634802.97226091
1735208710.75,-1666525.2370368876,-4739497.639979649,4633422.881021113
1735208711.0,-1667262.7853080952,-4740592.06962488,4632042.427825443
1735208711.25,-1668000.2037034617,-4741686.129988023,4630661.612781634
1735208711.5,-1668737.4921654055,-4742779.820983549,4629280.435997485
1735208711.75,-1669474.6506363838,-4743873.142526005,4627898.897580773
1735208712.0,-1670211.6790590486,-4744966.094530243,4626516.997638951
1735208712.25,-1670948.5773757678,-4746058.676910702,4625134.736280057
1735208712.5,-1671685.345529219,-4747150.889582297,4623752.113611589
1735208712.75,-1672421.9834618222,-4748242.732459578,4622369.129741588
1735208713.0,-1673158.491116127,-4749334.20545729,4620985.784777886
1735208713.25,-1673894.868434765,-4750425.308490324,4619602.078828217
