timestamp,frame index,eci x [m],eci y [m],eci z [m],q_eta,q_e1,q_e2,q_e3
1735211802.287797,382,-666766.1207954949,-4942269.15896971,4854861.676615194,-0.020256509480593578,-0.8093592120968229,-0.40267027560716284,-0.42699161609826136
1735211802.412797,383,-667028.7281822041,-4942886.58009881,4854194.866649492,-0.020215329972500685,-0.8093563441438675,-0.4026358341037667,-0.4270312588385086
1735211802.537797,384,-667291.3355689133,-4943504.001227909,4853528.05668379,-0.020174150464407792,-0.8093534761909119,-0.40260139260037053,-0.4270709015787559
1735211802.662797,385,-667553.9429556224,-4944121.422357008,4852861.246718087,-0.0201329709563149,-0.8093506082379563,-0.4025669510969743,-0.4271105443190031
1735211802.787797,386,-667816.5503423316,-4944738.843486108,4852194.436752385,-0.020091791448222006,-0.8093477402850008,-0.40253250959357817,-0.42715018705925034
1735211802.912797,387,-668079.1577290407,-4945356.264615207,4851527.626786683,-0.020050611940129116,-0.8093448723320452,-0.402498068090182,-0.4271898297994976
1735211803.037797,388,-668341.7651157499,-4945973.685744306,4850860.816820981,-0.02000943243203622,-0.8093420043790897,-0.40246362658678586,-0.42722947253974486
1735211803.162797,389,-668604.3725024591,-4946591.106873406,4850194.006855279,-0.01996825292394333,-0.8093391364261341,-0.4024291850833897,-0.4272691152799921
1735211803.287797,390,-668866.9798891683,-4947208.528002505,4849527.1968895765,-0.019927073415850437,-0.8093362684731786,-0.40239474357999355,-0.4273087580202394
1735211803.412797,391,-669129.5872758775,-4947825.949131604,4848860.386923875,-0.019885893907757544,-0.8093334005202231,-0.4023603020765974,-0.42734840076048664
1735211803.537797,392,-669392.1946625866,-4948443.370260704,4848193.576958172,-0.01984471439966465,-0.8093305325672675,-0.40232586057320124,-0.4273880435007339
1735211803.662797,393,-669654.8020492957,-4949060.791389803,4847526.76699247,-0.01980353489157176,-0.8093276646143119,-0.4022914190698051,-0.42742768624098115
1735211803.787797,394,-669917.4094360049,-4949678.2125189025,4846859.957026768,-0.01976235538347887,-0.8093247966613564,-0.40225697756640894,-0.4274673289812284
1735211803.912797,395,-670180.0168227141,-4950295.6336480025,4846193.147061066,-0.019721175875385973,-0.8093219287084008,-0.4022225360630128,-0.4275069717214756
1735211804.037797,396,-670442.6242094233,-4950913.054777102,4845526.337095363,-0.019679996367293083,-0.8093190607554454,-0.4021880945596166,-0.4275466144617229
1735211804.162797,397,-670705.2315961325,-4951530.475906201,4844859.527129661,-0.01963881685920019,-0.8093161928024898,-0.4021536530562205,-0.42758625720197013
1735211804.287797,398,-670967.8389828416,-4952147.897035301,4844192.717163959,-0.019597637351107297,-0.8093133248495342,-0.4021192115528243,-0.4276258999422174
1735211804.412797,399,-671230.4463695508,-4952765.3181644,4843525.907198257,-0.019556457843014404,-0.8093104568965787,-0.40208477004942816,-0.42766554268246465
1735211804.537797,400,-671493.05375626,-4953382.739293499,4842859.097232554,-0.01951527833492151,-0.8093075889436231,-0.402050328546032,-0.4277051854227119
1735211804.662797,401,-671755.6611429692,-4954000.160422599,4842192.287266852,-0.019474098826828618,-0.8093047209906675,-0.40201588704263586,-0.42774482816295917
1735211804.787797,402,-672018.2685296783,-4954617.581551698,4841525.47730115,-0.019432919318735725,-0.809301853037712,-0.4019814455392397,-0.4277844709032064
